id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,code_departement,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,section_cadastrale
2021-1,2021-01-05,Vente,185000.0,CHE DE VOGELAS,01370,Val-Revermont,01,1,Maison,97,5,5.386094,46.32714,ZC
2021-3,2021-01-04,Vente,204332.0,ALL DES ECUREUILS,01310,Buellas,01,1,Maison,88,4,5.157688,46.200988,B
2021-4,2021-01-06,Vente,320000.0,RTE DE CERTINES,01250,Montagnat,01,1,Maison,168,5,5.27326,46.156334,AZ
2021-6,2021-01-04,Vente,176000.0,RUE GEORGE SAND,01000,Saint-Denis-lès-Bourg,01,2,Appartement,71,3,5.200117,46.210292,AC
2021-9,2021-01-04,Vente,226700.0,CHE DU MOULIN DE POLAIZE,01310,Polliat,01,1,Maison,96,3,5.108604,46.244066,AA
2021-10,2021-01-08,Vente,185000.0,RUE DES GRANGES BONNET,01960,Péronnas,01,1,Maison,100,4,5.210226,46.187698,AD
2021-11,2021-01-07,Vente,114500.0,RUE DE LA MAIRIE,01340,Foissiat,01,1,Maison,85,2,5.174845,46.368874,AB
2021-13,2021-01-08,Vente,145000.0,IMP DE CHAMANDRE,01340,Foissiat,01,1,Maison,92,1,5.20076,46.405032,WC
2021-14,2021-01-07,Vente,169600.0,CHE DES MILLETTES,01160,Druillat,01,1,Maison,98,4,5.297663,46.069603,C
2021-15,2021-01-08,Vente,129150.0,RUE DU PRE PAQUIER,01750,Saint-Laurent-sur-Saône,01,2,Appartement,64,3,4.843007,46.307415,A
2021-16,2021-01-18,Vente,178600.0,RTE DES BAISSES,01570,Feillens,01,1,Maison,110,4,4.888266,46.344279,AD
2021-18,2021-01-04,Vente,165000.0,RUE GEN DELESTRAINT,01000,Bourg-en-Bresse,01,2,Appartement,67,3,5.219396,46.198766,AM
